dataset,method,runs,acc_kept_mean,acc_kept_sd,coverage_mean,coverage_sd,rejection_rate_mean,rejection_rate_sd,conservative_overall_accuracy_mean,conservative_overall_accuracy_sd,ari_all_mean,ari_all_sd,nmi_all_mean,nmi_all_sd,ami_all_mean,ami_all_sd,ari_kept_mean,ari_kept_sd,nmi_kept_mean,nmi_kept_sd,ami_kept_mean,ami_kept_sd
F_new,ConvNeXt+UMAP+all3,5,0.9994518851284501,3.388417365244535e-05,0.7869677419354839,0.045824100122120875,0.2130322580645161,0.04582410012212088,0.7865376344086021,0.045824100122120875,0.38885466762420534,0.003942004188313023,0.7814203908587605,0.0020172048464781257,0.7809089869895416,0.002020238647436333,0.5165215336860126,0.04738563242472849,0.8273300550051681,0.015188500909099437,0.8268700677731323,0.015215467584045116
V_new,ConvNeXt+UMAP+all3,5,0.9784723731185527,0.02098874654283994,0.8999109528049867,0.04340462847748645,0.1000890471950133,0.04340462847748645,0.8800633224497872,0.033475314544470704,0.6905480390013953,0.009164873191003231,0.8840425994728781,0.007385374620795761,0.8837953945842789,0.007403599792566423,0.7635463461142777,0.02994296686703286,0.9145130395774541,0.011280183494987809,0.9143419091089865,0.011299491468020938
M_new_drop5_drop7,ConvNeXt+UMAP+all3,5,0.9072478565502676,0.014848711575277515,0.9060810810810811,0.05045824223935635,0.09391891891891886,0.05045824223935633,0.8214414414414415,0.03230211870479652,0.5222756796286384,0.010063595757541831,0.7577343095866708,0.006406311283949057,0.7560398840095817,0.006430518684904444,0.5781800357410658,0.03936099639214588,0.7817321108377359,0.01902651144393338,0.7801211625527172,0.019128916771722015
M_new,ConvNeXt+UMAP+all3,5,0.8737976619722294,0.007628822643004885,0.81090458488228,0.008925661252364308,0.18909541511771996,0.008925661252364282,0.708550185873606,0.008388372389628898,0.527636690299181,0.010046609120099418,0.7602745933664207,0.005236961086713648,0.7583883036570994,0.005264478983791409,0.6004315889680326,0.011030276565471057,0.7943554698964354,0.003948873644061643,0.7926154113267323,0.00399885321281314
F_new,DINOv2+KMeans,5,0.9877706093189964,0.00020652129449301283,1.0,0.0,0.0,0.0,0.9877706093189964,0.00020652129449301283,0.36477420502543956,0.011452565531544367,0.7558963497998954,0.003357435855637018,0.7553324194133324,0.0033625507272097965,0.36477420502543956,0.011452565531544367,0.7558963497998954,0.003357435855637018,0.7553324194133324,0.0033625507272097965
F_new,DINOv2+UMAP+all3,5,0.9979705066520079,0.0005586937990695585,0.7268243727598567,0.027399430528925905,0.2731756272401434,0.027399430528925933,0.7253476702508961,0.027299529682014455,0.37541457397214756,0.016382054580097546,0.7748525579408252,0.0069051464456192655,0.7743286425343432,0.006915597554085775,0.5394991176837601,0.052121633513136756,0.8369386183388086,0.014493199200080714,0.8365125861503534,0.014533537838790979
M_new,DINOv2+KMeans,5,0.7090871540685668,0.020076431594728487,1.0,0.0,0.0,0.0,0.7090871540685668,0.020076431594728487,0.37936870475549095,0.017499728145543254,0.6640078653597188,0.012677236002648376,0.6614246015236682,0.012771951744566409,0.37936870475549095,0.017499728145543254,0.6640078653597188,0.012677236002648376,0.6614246015236682,0.012771951744566409
M_new,DINOv2+UMAP+all3,5,0.81607870921047,0.02793101580407255,0.8121024370095002,0.03952088634632753,0.18789756299049978,0.03952088634632753,0.6622057001239158,0.025420602005694806,0.488195092462911,0.01928154924271451,0.7321482827002569,0.01094283879399218,0.7300133339716635,0.011014379549583921,0.5576732617915621,0.04008531989869895,0.757052935241129,0.020708349252933023,0.7548770984450874,0.02092464223074713
M_new_drop5_drop7,DINOv2+KMeans,5,0.7904504504504504,0.00942265469794427,1.0,0.0,0.0,0.0,0.7904504504504504,0.00942265469794427,0.41536533432103206,0.011019216892076607,0.6861703258661176,0.00500337771178105,0.6840216025555167,0.0050479834787034925,0.41536533432103206,0.011019216892076607,0.6861703258661176,0.00500337771178105,0.6840216025555167,0.0050479834787034925
M_new_drop5_drop7,DINOv2+UMAP+all3,5,0.8814651587014696,0.007342679423575077,0.8047297297297297,0.03378528525192008,0.19527027027027025,0.03378528525192006,0.7091441441441442,0.023867817521796883,0.49710388019606944,0.0043701187551746035,0.737578935317547,0.003421086097736402,0.7357142468903343,0.003433462555014188,0.5972336764279864,0.022255751435082065,0.7768306339211546,0.009751878615133906,0.7750820880449238,0.009802793880667335
V_new,DINOv2+KMeans,5,0.825576333234392,0.011173330293985014,1.0,0.0,0.0,0.0,0.825576333234392,0.011173330293985014,0.38549203810934235,0.012395284196144066,0.6923141221637021,0.008058190953864197,0.6917045620526999,0.008074005560827808,0.38549203810934235,0.012395284196144066,0.6923141221637021,0.008058190953864197,0.6917045620526999,0.008074005560827808
V_new,DINOv2+UMAP+all3,5,0.9559618349411195,0.005497171724556307,0.8241218957158404,0.06789521420663198,0.1758781042841595,0.06789521420663196,0.7875927574948055,0.061453732283556994,0.6240894004295192,0.02213364709983276,0.8273710104905637,0.009284124750436372,0.8269890934722482,0.009312000518467884,0.7226207437433374,0.027513022651510642,0.8758663466873097,0.012182374049147088,0.8756054131621653,0.012240612608635345
