dataset,dim,k,runs,acc_kept_mean,acc_kept_std,rejection_rate_mean,rejection_rate_std,overall_accuracy_mean,overall_accuracy_std,ari_kept_mean,ari_kept_std,nmi_kept_mean,nmi_kept_std,ami_kept_mean,ami_kept_std
F_new,50,10,5,0.9593914029189252,0.014337400513283423,0.11882437275985662,0.012296913851081353,0.8452186379928316,0.002269312600566419,0.6953103119015989,0.004791420294920307,0.8892990727238438,0.005315545981891154,0.8891643759798035,0.0053167829888417315
F_new,50,20,5,0.9994279221883696,5.095838110923063e-05,0.2214193548387097,0.022725457028251246,0.778136200716846,0.02274505770106206,0.51257635543881,0.024012476508208175,0.8282042504939122,0.008491788184048058,0.8277455570613677,0.008508989763641644
F_new,100,15,5,0.9994976413365126,5.716244959181573e-05,0.08209318996415771,0.05009687869179217,0.9174480286738351,0.050115650476494224,0.5765991094325358,0.0478803391108698,0.8595069870745599,0.015454308654437072,0.8592394521854677,0.015479881526865698
F_new,100,20,5,0.99945188512845,3.030692625931086e-05,0.21303225806451614,0.040986321152327476,0.7865376344086021,0.040986321152327476,0.5165215336860125,0.04238299810340441,0.8273300550051681,0.013585008203625477,0.8268700677731324,0.01360912793094775
F_new,100,30,5,0.9994056723672996,0.00024815601554014776,0.346336917562724,0.013603128491815442,0.6532759856630825,0.013662668721428932,0.3819176356442767,0.02736152101654531,0.7662125080783682,0.0042789060529267895,0.7652049523988952,0.004290333211261825
F_new,200,15,5,0.9995221751035948,5.123118823353189e-05,0.036587813620071685,0.03717423664924236,0.9629534050179211,0.03719449045723815,0.5338640277140905,0.01375801661825025,0.8454404083359808,0.0064021231155165685,0.8451497936460204,0.006412050199920593
F_new,200,20,5,0.9994051244038265,2.9673688147085202e-05,0.22898924731182796,0.039741837214833986,0.7705519713261648,0.03971541989140818,0.5511793614648333,0.050983436150420114,0.8403900209236348,0.015269996089228188,0.8399724258901029,0.015298251439206328
M_new_drop5_drop7,50,10,5,0.7629916564590492,0.012983643516372666,0.05162162162162163,0.05909000012354957,0.7228378378378378,0.03309036111960782,0.6405801197256507,0.02394647554738742,0.8123601784351886,0.01966128543969404,0.8116305333167315,0.019717816466846734
M_new_drop5_drop7,50,20,5,0.8961318155145188,0.011371106139908141,0.07837837837837838,0.039480639344433216,0.8255855855855856,0.029226772045578418,0.5546853960999403,0.02890182593639583,0.7686543581569438,0.013699926744594013,0.7669631421823234,0.0137998164908726
M_new_drop5_drop7,100,15,5,0.8257198212128944,0.002976298394848443,0.04342342342342343,0.005739311496443626,0.789864864864865,0.005620711984617674,0.5792770740816049,0.0030465913882838907,0.7899493943027401,0.0017665249996525383,0.7887514911388221,0.0017736670717012058
M_new_drop5_drop7,100,20,5,0.9072478565502676,0.013281091384243398,0.09391891891891893,0.04513122386894077,0.8214414414414415,0.028891893296476987,0.5781800357410658,0.03520554543798487,0.7817321108377359,0.017017829185325087,0.7801211625527171,0.0171094232950025
M_new_drop5_drop7,100,30,5,0.9352608962572301,0.003411495419159094,0.18756756756756757,0.017251370146573755,0.7598198198198198,0.015568000285944695,0.5303614993547672,0.01337665037287938,0.7697675779961664,0.004233100302201522,0.7671934791218951,0.004254827803813436
M_new_drop5_drop7,200,15,5,0.8257708984770451,0.009108732298396987,0.06090090090090089,0.03318588034097267,0.7751801801801802,0.01919066948568555,0.5847512367761987,0.017861204802068355,0.7924959247166665,0.008055553228989312,0.7913069092442216,0.008094049110897152
M_new_drop5_drop7,200,20,5,0.9060134685007284,0.012363277503818314,0.13567567567567568,0.052232754983109586,0.7825675675675676,0.0386904161214506,0.5904208153547966,0.032735551329801604,0.7873856508843324,0.015150381599791735,0.78575812216083,0.015215308780123641
V_new,50,10,5,0.8235865453017333,0.0015610190664642502,0.09018502028297219,0.04169322280507893,0.7493222519046205,0.03461053914707494,0.6713994761288923,0.018701768524831953,0.8746776969591601,0.009973280056785029,0.8745382060166135,0.009983711482709063
V_new,50,20,5,0.9879146024033574,0.00027458492185179393,0.10696546947660038,0.030512395428917885,0.8822499257940042,0.03037842621284152,0.7705492626282862,0.020489883070220226,0.9155213891392165,0.005011722635629683,0.9153487898197679,0.005022803911545298
V_new,100,15,5,0.9427941903405038,0.0003561549598822723,0.014494904521618678,0.0007859454678237073,0.9291283269021472,0.0006246638613896801,0.7276413615803392,0.0008163465753359353,0.9028616555473524,0.0009266819181983517,0.9027051035578877,0.0009280964684449197
V_new,100,20,5,0.9784723731185526,0.018772905612921532,0.10008904719501335,0.038822279925513174,0.8800633224497872,0.029941231555849563,0.7635463461142777,0.02678180374508375,0.9145130395774542,0.010089302837385558,0.9143419091089866,0.010106572413469484
V_new,100,30,5,0.9873471914031811,0.00036962232485497973,0.1272682299396458,0.029980472939584463,0.8616998120114772,0.029909385710167196,0.7566719481623188,0.03382974811465498,0.9001183273232212,0.007376137978181265,0.899810596271369,0.007399758285885106
V_new,200,15,5,0.942693105021449,0.0003879731869475561,0.01485109330167211,0.000519229910493794,0.9286929850598595,0.00045405338500379187,0.7273508818049417,0.0009735003517930101,0.9027284586300615,0.0009693181389101256,0.9025716308202358,0.0009708436898952183
V_new,200,20,5,0.9881039542993986,0.0002716225874259106,0.08541604828336796,0.02868100042098292,0.9037102997922233,0.02853473039581363,0.7640193309016082,0.02461290941495285,0.9135830732625877,0.0073189169739225155,0.9134110685794603,0.007332442813467737
