acc_kept,analysis_type,coverage,dataset,method,n_seeds,rejection_rate,selective_risk
0.9995412186379926,discrete_operating_point_not_continuous_AURC,1.0,F_new,kmeans,5,0.0,0.00045878136200738773
0.9995146782817415,discrete_operating_point_not_continuous_AURC,0.9450322580645161,F_new,any2,5,0.05496774193548387,0.00048532171825854675
0.9994867540926344,discrete_operating_point_not_continuous_AURC,0.6137491039426524,F_new,all3,5,0.3862508960573477,0.0005132459073655671
0.9998362733365983,discrete_operating_point_not_continuous_AURC,0.6137491039426524,F_new,kmeans_distance_reject,5,0.3862508960573477,0.00016372666340169761
0.9910557039675473,discrete_operating_point_not_continuous_AURC,1.0,V_new,kmeans,5,0.0,0.008944296032452725
0.9909688697794232,discrete_operating_point_not_continuous_AURC,0.9815870188977937,V_new,any2,5,0.018412981102206395,0.009031130220576777
0.9906972141553151,discrete_operating_point_not_continuous_AURC,0.8261897694667062,V_new,all3,5,0.17381023053329375,0.009302785844684913
0.9957037268056064,discrete_operating_point_not_continuous_AURC,0.8261897694667062,V_new,kmeans_distance_reject,5,0.17381023053329375,0.004296273194393629
0.8901280462618754,discrete_operating_point_not_continuous_AURC,1.0,M_new,kmeans,5,0.0,0.10987195373812464
0.894136006467684,discrete_operating_point_not_continuous_AURC,0.9785625774473358,M_new,any2,5,0.021437422552664186,0.10586399353231601
0.9028008351901876,discrete_operating_point_not_continuous_AURC,0.7336224700536969,M_new,all3,5,0.2663775299463032,0.09719916480981239
0.9072506231247164,discrete_operating_point_not_continuous_AURC,0.7336224700536969,M_new,kmeans_distance_reject,5,0.2663775299463032,0.09274937687528362
0.9988739946380697,discrete_operating_point_not_continuous_AURC,1.0,G_new,kmeans,5,0.0,0.0011260053619303045
0.9988102859507425,discrete_operating_point_not_continuous_AURC,0.9465951742627345,G_new,any2,5,0.05340482573726542,0.0011897140492574954
0.9986661394237725,discrete_operating_point_not_continuous_AURC,0.6440750670241286,G_new,all3,5,0.3559249329758713,0.0013338605762275302
0.9996631639831112,discrete_operating_point_not_continuous_AURC,0.6440750670241286,G_new,kmeans_distance_reject,5,0.3559249329758713,0.0003368360168888307
