dataset,file_a,file_b,highly_suspicious,phash_hamming
F_new,3_828.jpg,3_937.jpg,0,8
F_new,3_285.jpg,3_948.jpg,0,8
F_new,3_576.jpg,3_948.jpg,0,8
F_new,3_323.jpg,3_95.jpg,0,8
F_new,3_527.jpg,3_95.jpg,1,4
F_new,1_615.jpg,3_965.jpg,0,8
F_new,3_149.jpg,3_972.jpg,0,8
F_new,3_711.jpg,3_975.jpg,0,8
F_new,3_100.jpg,3_983.jpg,0,6
F_new,3_263.jpg,3_986.jpg,0,8
F_new,2_246.jpg,4_1125.jpg,0,8
F_new,4_1144.jpg,4_1184.jpg,0,8
F_new,4_1124.jpg,4_1192.jpg,0,8
F_new,4_1080.jpg,4_1227.jpg,0,8
F_new,4_1001.jpg,4_1235.jpg,0,8
F_new,4_1235.jpg,4_1239.jpg,0,8
F_new,4_1192.jpg,4_1243.jpg,0,8
F_new,4_1239.jpg,4_1274.jpg,0,8
F_new,4_1176.jpg,4_1288.jpg,0,6
F_new,4_1153.jpg,4_131.jpg,0,8
F_new,4_1170.jpg,4_131.jpg,0,8
F_new,4_1109.jpg,4_1336.jpg,0,8
F_new,4_1152.jpg,4_1358.jpg,0,8
F_new,4_1315.jpg,4_16.jpg,0,8
F_new,4_1230.jpg,4_165.jpg,0,8
F_new,4_1002.jpg,4_180.jpg,0,8
F_new,4_1176.jpg,4_183.jpg,0,6
F_new,4_1288.jpg,4_183.jpg,0,8
F_new,4_1194.jpg,4_193.jpg,0,8
F_new,4_1037.jpg,4_199.jpg,0,8
F_new,4_1059.jpg,4_208.jpg,0,8
F_new,4_1073.jpg,4_227.jpg,0,8
F_new,4_228.jpg,4_229.jpg,0,8
F_new,4_174.jpg,4_229.jpg,0,8
F_new,4_1377.jpg,4_234.jpg,0,8
F_new,4_147.jpg,4_236.jpg,0,8
F_new,4_1357.jpg,4_287.jpg,0,8
F_new,4_111.jpg,4_289.jpg,0,6
F_new,4_1112.jpg,4_295.jpg,0,8
F_new,4_1288.jpg,4_295.jpg,0,8
F_new,4_240.jpg,4_315.jpg,0,6
F_new,4_315.jpg,4_317.jpg,0,8
F_new,4_180.jpg,4_319.jpg,0,6
F_new,4_1278.jpg,4_319.jpg,0,8
F_new,4_1135.jpg,4_322.jpg,0,8
F_new,4_1213.jpg,4_339.jpg,0,8
F_new,4_1146.jpg,4_347.jpg,0,6
F_new,4_319.jpg,4_348.jpg,0,8
F_new,4_237.jpg,4_354.jpg,0,8
F_new,4_1277.jpg,4_369.jpg,0,8
F_new,4_1297.jpg,4_374.jpg,0,8
F_new,4_339.jpg,4_375.jpg,0,8
F_new,4_11.jpg,4_38.jpg,0,8
F_new,4_1190.jpg,4_388.jpg,0,8
F_new,4_1281.jpg,4_390.jpg,0,8
F_new,4_315.jpg,4_40.jpg,0,8
F_new,4_1183.jpg,4_40.jpg,0,6
F_new,4_227.jpg,4_404.jpg,0,8
F_new,4_1213.jpg,4_405.jpg,0,8
F_new,4_339.jpg,4_405.jpg,0,8
F_new,4_1277.jpg,4_405.jpg,0,8
F_new,4_339.jpg,4_433.jpg,0,8
F_new,4_405.jpg,4_433.jpg,0,8
F_new,4_337.jpg,4_433.jpg,0,8
F_new,4_1310.jpg,4_437.jpg,0,8
F_new,4_246.jpg,4_445.jpg,0,8
F_new,4_36.jpg,4_458.jpg,0,8
F_new,4_1371.jpg,4_464.jpg,0,8
F_new,4_1277.jpg,4_465.jpg,0,8
F_new,4_1179.jpg,4_466.jpg,0,8
F_new,4_1329.jpg,4_480.jpg,0,8
F_new,4_131.jpg,4_482.jpg,0,8
F_new,4_1187.jpg,4_484.jpg,0,8
F_new,4_309.jpg,4_488.jpg,0,8
F_new,4_1115.jpg,4_495.jpg,0,8
F_new,4_1084.jpg,4_499.jpg,0,8
F_new,4_263.jpg,4_514.jpg,0,8
F_new,4_520.jpg,4_53.jpg,0,8
F_new,4_1124.jpg,4_536.jpg,0,8
F_new,4_183.jpg,4_537.jpg,0,8
F_new,4_405.jpg,4_537.jpg,0,8
F_new,4_1372.jpg,4_544.jpg,0,8
F_new,4_1183.jpg,4_546.jpg,0,8
F_new,4_315.jpg,4_554.jpg,0,8
F_new,4_240.jpg,4_554.jpg,0,6
F_new,4_468.jpg,4_559.jpg,0,8
F_new,4_480.jpg,4_56.jpg,0,8
F_new,4_183.jpg,4_561.jpg,0,8
F_new,4_1176.jpg,4_561.jpg,0,8
F_new,4_1287.jpg,4_568.jpg,0,8
F_new,4_514.jpg,4_568.jpg,0,6
F_new,4_1167.jpg,4_569.jpg,0,8
F_new,4_1184.jpg,4_586.jpg,0,8
F_new,4_183.jpg,4_593.jpg,0,8
F_new,4_1176.jpg,4_593.jpg,0,8
F_new,4_595.jpg,4_601.jpg,0,8
F_new,4_148.jpg,4_612.jpg,0,8
