dataset,duplicate_group_id,kept_file,kept_pixels,removed_file,removed_pixels,sha256
G_new,129,3_842.jpg,991587,3_844.jpg,991587,90631d939db31330b83391b920a481b56af4d20f7e283c8137de193cb737319a
G_new,130,3_678.jpg,589190,3_679.jpg,589190,90cd3e8440144a313198cf8328b563dcea7f899f7157d5a58d4fdc6bbe7f6c7f
G_new,130,3_678.jpg,589190,3_680.jpg,589190,90cd3e8440144a313198cf8328b563dcea7f899f7157d5a58d4fdc6bbe7f6c7f
G_new,131,3_206.jpg,766338,3_337.jpg,766338,912bf9c155517053d26a7b5bd61fa6517373f8c3a834ba3e6672ca106531ad26
G_new,132,3_938.jpg,653800,3_939.jpg,653800,92a01c5aa3daa51932ac790fc490098470b30433b44026b237d033148ca6d72a
G_new,132,3_938.jpg,653800,3_940.jpg,653800,92a01c5aa3daa51932ac790fc490098470b30433b44026b237d033148ca6d72a
G_new,133,3_550.jpg,459621,3_551.jpg,459621,94e90b0eb6a872cf5784a0fb29d90cb3bebfb3a3c10151efcadb6d3ec6a00ae0
G_new,134,3_214.jpg,857338,3_323.jpg,857338,96474d5a4bdcf81a16e4b9e147ea6826aa92c3509fc492825ef8ccb1b077ab83
G_new,135,3_718.jpg,443136,3_719.jpg,443136,96d24496a49a9dadfd5d5887925f1f8b46692f81dc2b2e2cbe77c1e5077ff654
G_new,135,3_718.jpg,443136,3_720.jpg,443136,96d24496a49a9dadfd5d5887925f1f8b46692f81dc2b2e2cbe77c1e5077ff654
G_new,136,3_216.jpg,717118,3_321.jpg,717118,97358c7dda5c97e6b3fddfd411f47bb4dc955e3bab9a14f0205677efc6080e2e
G_new,137,3_207.jpg,767349,3_336.jpg,767349,977583a20909c39d603110ea9da036450f40bfe77dc5c295c78b42a0447c706a
G_new,138,3_854.jpg,600545,3_855.jpg,600545,977b700ebf0fe1904282fb95e4eb09c655067e5005e58443e26341f42c561824
G_new,138,3_854.jpg,600545,3_856.jpg,600545,977b700ebf0fe1904282fb95e4eb09c655067e5005e58443e26341f42c561824
G_new,139,2_261.jpg,249841,2_262.jpg,249841,97ff31a52afc46574d2b9260a5bb3c7f39c327766c78142c9a56c95235d7e8b4
G_new,140,3_190.jpg,1111121,3_365.jpg,1111121,984412520d6a86a234334c40febe20d52a52daeff5ed668cf85b967599e51711
G_new,141,3_902.jpg,1143610,3_903.jpg,1143610,9a420b3c654194b8a99781455fcd306ec8e8aa35e84dfc26e8e32d256c0ef138
G_new,141,3_902.jpg,1143610,3_904.jpg,1143610,9a420b3c654194b8a99781455fcd306ec8e8aa35e84dfc26e8e32d256c0ef138
G_new,142,3_788.jpg,672370,3_789.jpg,672370,9a729b905f4a4c861aa17a3e0f2e383e6856fc1bce815d637afef73ebd58b3a9
G_new,142,3_788.jpg,672370,3_790.jpg,672370,9a729b905f4a4c861aa17a3e0f2e383e6856fc1bce815d637afef73ebd58b3a9
G_new,143,0_848.jpg,1918800,0_849.jpg,1918800,9ae7e5a06a0347b6de53dbb4535e09bcb0fb2288e34d8e6200e47f68755828d0
G_new,143,0_848.jpg,1918800,0_850.jpg,1918800,9ae7e5a06a0347b6de53dbb4535e09bcb0fb2288e34d8e6200e47f68755828d0
G_new,144,3_614.jpg,746504,3_615.jpg,746504,9b0927df193fb100122783797d684df8afef9e3da779b3bf40c9196489693f1e
