acc_kept_mean,acc_kept_std,coverage_mean,coverage_std,rejection_rate_mean,rejection_rate_std,conservative_accuracy_mean,conservative_accuracy_std,ari_all_mean,ari_all_std,ari_kept_mean,ari_kept_std,nmi_all_mean,nmi_all_std,nmi_kept_mean,nmi_kept_std,ami_all_mean,ami_all_std,ami_kept_mean,ami_kept_std,homogeneity_mean,homogeneity_std,completeness_mean,completeness_std,v_measure_mean,v_measure_std
0.9988739946380697,0.0002936850174289758,1.0,0.0,0.0,0.0,0.9988739946380697,0.0002936850174289758,0.10138083064769347,0.0010771230861167116,0.10138083064769347,0.0010771230861167116,0.5002344145322049,0.001000414336154916,0.5002344145322049,0.001000414336154916,0.49563499213051043,0.0009993718318470843,0.49563499213051043,0.0009993718318470843,0.9958485265106631,0.0010200712365896118,0.3340064155675594,0.0008150788044765981,0.5002344145322049,0.0010004143361549498
0.9986661394237727,0.0002016561212489627,0.6440750670241286,0.015012926074327667,0.3559249329758713,0.01501292607432767,0.6432171581769437,0.015058100837165925,0.09814675064781335,0.001002582169966787,0.11475604795959185,0.004169899120694173,0.49848300161976883,0.00026668514690518844,0.5098371200561604,0.005095709788477575,0.4938908914559158,0.00026699260273295596,0.5035366960846742,0.005280087035396244,0.9953293191425558,0.0007173080780821145,0.3426982480046919,0.004605523311887106,0.5098371200561604,0.005095709788477507
0.9988102859507425,0.00031087574411797786,0.9465951742627347,0.012929091667710274,0.05340482573726542,0.012929091667710245,0.9454691689008042,0.012930759327927524,0.09814675064781335,0.001002582169966787,0.0976682710944658,0.0015460063536647623,0.49848300161976883,0.00026668514690518844,0.4978834219974332,0.001199694390308901,0.4938908914559158,0.00026699260273295596,0.49301254034847375,0.0012191056699376848,0.9956809244203575,0.0010477319863805262,0.3319328797376976,0.001116788238367841,0.4978834219974333,0.0011996943903088949
0.9988739946380697,0.0002936850174289758,1.0,0.0,0.0,0.0,0.9988739946380697,0.0002936850174289758,0.10519556786754039,0.002116370743420018,0.10519556786754039,0.002116370743420018,0.5020998834568627,0.001432289008611392,0.5020998834568627,0.001432289008611392,0.4974946661827232,0.0014287207977120083,0.4974946661827232,0.0014287207977120083,0.9958759100730552,0.0010244798106817262,0.3356691696160105,0.0012177803722461511,0.5020998834568627,0.001432289008611293
0.9988739946380697,0.0002936850174289758,1.0,0.0,0.0,0.0,0.9988739946380697,0.0002936850174289758,0.09814675064781335,0.001002582169966787,0.09814675064781335,0.001002582169966787,0.49848300161976883,0.00026668514690518844,0.49848300161976883,0.00026668514690518844,0.4938908914559158,0.00026699260273295596,0.4938908914559158,0.00026699260273295596,0.9958894893012143,0.001018115142177631,0.3324419229922747,0.0002459160240750593,0.49848300161976883,0.0002666851469052404
0.9996631639831112,0.00035707653161864923,0.6440750670241286,0.015012926074327667,0.3559249329758713,0.01501292607432767,0.6438605898123325,0.015138078666964434,0.09814675064781335,0.001002582169966787,0.09670961311797988,0.0026458433340188657,0.49848300161976883,0.00026668514690518844,0.4980723826360799,0.003431969879126609,0.4938908914559158,0.00026699260273295596,0.49073271758506276,0.003615816838621853,0.9988699470491824,0.0011750252810729669,0.3317504753398299,0.002922106877712722,0.49807238263607995,0.0034319698791266686
0.8916563403552251,0.00365557259058683,1.0,0.0,0.0,0.0,0.8916563403552251,0.00365557259058683,0.2546528627414672,0.007159585289854408,0.2546528627414672,0.007159585289854408,0.6583259487206378,0.0011072982579685235,0.6583259487206378,0.0011072982579685235,0.6511890426747227,0.0011071615993109615,0.6511890426747227,0.0011071615993109615,0.8964365277587063,0.0014831376117226483,0.5201640792054674,0.0016215203089868684,0.6583259487206378,0.001107298257968451
0.9028008351901876,0.006441844062652904,0.7336224700536969,0.015133173305409522,0.2663775299463032,0.015133173305409541,0.6622883106154481,0.012816612422995284,0.24880734965978202,0.011814944984735787,0.2972480592629432,0.01934206835285765,0.6564629955361702,0.002898732300186371,0.6817850791264071,0.008273695767172275,0.6493133658135142,0.0029346203430256537,0.6735516315776159,0.008602655132499012,0.9064244357409604,0.003769141736355371,0.5464155553709747,0.009683051689354051,0.6817850791264071,0.008273695767172306
0.894136006467684,0.0005176891094039044,0.9785625774473358,0.008220159025092136,0.02143742255266419,0.008220159025092164,0.8749690210656753,0.007511424528715152,0.24880734965978202,0.011814944984735787,0.2522096489908471,0.01069242996040807,0.6564629955361702,0.002898732300186371,0.6587938152058227,0.0026080458493304153,0.6493133658135142,0.0029346203430256537,0.651551592877915,0.002711573075074175,0.8984310808653804,0.002218565658004294,0.5200775597758388,0.0027286289645047524,0.6587938152058228,0.0026080458493304157
0.8942585708384965,0.006405643295857424,1.0,0.0,0.0,0.0,0.8942585708384965,0.006405643295857424,0.2688673695968383,0.00994917400070941,0.2688673695968383,0.00994917400070941,0.6616846323291516,0.0034342398956177835,0.6616846323291516,0.0034342398956177835,0.6546030819423427,0.003488418421691771,0.6546030819423427,0.003488418421691771,0.8993177345798937,0.0031739005461216157,0.5233881744215688,0.003286305040001572,0.6616846323291516,0.0034342398956178
