bootstrap_reps,ci95_high,ci95_low,ci_excludes_zero,ci_method,comparison,dataset,mean_diff,metric,n_seed_pairs,practical_threshold,practically_meaningful,random_rejection_handling,sampling_unit,seed_diff_std,seed_diffs
20000,0.0010674158742727037,-0.001313975655687205,0,percentile,all3 - random_same_coverage,V_new,-0.0003684181880074577,acc_kept,5,0.005,0,mean_over_random_rejection_repeats_within_seed,random_seed,0.0016096403828683523,-0.00138048;-0.00083109;0.00242958;-0.00148892;-0.00057119
20000,0.11167539814258605,0.05759808711643534,1,percentile,all3 - random_same_coverage,V_new,0.08048675640463106,ari_kept,5,0.005,1,mean_over_random_rejection_repeats_within_seed,random_seed,0.035222276728861565,0.08397221;0.05245146;0.13948844;0.06995584;0.05656584
20000,0.034403978858529416,0.014615417690833854,1,percentile,all3 - random_same_coverage,V_new,0.022697740775030773,nmi_kept,5,0.005,1,mean_over_random_rejection_repeats_within_seed,random_seed,0.013106049978918574,0.02293825;0.01356597;0.04517189;0.01768003;0.01413255
20000,0.016945283285829893,0.007963074662994729,1,percentile,all3 - kmeans,M_new,0.01267278892831245,acc_kept,5,0.005,1,same_seed_method_pair,random_seed,0.0057032661684071305,0.01970471;0.01396849;0.00395946;0.01408748;0.01164380
20000,0.06103069283012906,0.03585072637619328,1,percentile,all3 - kmeans,M_new,0.04844070960316117,ari_kept,5,0.005,1,same_seed_method_pair,random_seed,0.016073848499578748,0.04763080;0.06817249;0.03547724;0.03033417;0.06058884
20000,0.03186523709541931,0.01877893008505447,1,percentile,all3 - kmeans,M_new,0.02532208359023689,nmi_kept,5,0.005,1,same_seed_method_pair,random_seed,0.008244453072200267,0.02710861;0.03327647;0.01636830;0.01702472;0.03283232
20000,0.013716486095891711,0.0034846532808517684,1,percentile,all3 - any2,M_new,0.008664828722503825,acc_kept,5,0.005,1,same_seed_method_pair,random_seed,0.006478692664968123,0.01745822;0.01137290;0.00040516;0.00483488;0.00925299
20000,0.05816516009874832,0.03191166044544399,1,percentile,all3 - any2,M_new,0.04503841027209616,ari_kept,5,0.005,1,same_seed_method_pair,random_seed,0.01650928940481654,0.04603680;0.06361120;0.02881569;0.02794506;0.05878330
20000,0.030096158125271222,0.015886369715897387,1,percentile,all3 - any2,M_new,0.022991263920584305,nmi_kept,5,0.005,1,same_seed_method_pair,random_seed,0.009081876833283585,0.02614241;0.03076607;0.01237107;0.01427365;0.03140312
20000,0.00233087139312389,-0.011589046470973497,0,percentile,all3 - kmeans_distance_reject,M_new,-0.004449787934528726,acc_kept,5,0.005,0,same_seed_method_pair,random_seed,0.008878784700904233,0.00793201;-0.00534459;-0.01655443;-0.00683434;-0.00144760
20000,0.047141253339584445,0.025130928399020723,1,percentile,all3 - kmeans_distance_reject,M_new,0.036136090869302584,ari_kept,5,0.005,1,same_seed_method_pair,random_seed,0.014189188094352025,0.04905286;0.04229348;0.02086664;0.02081394;0.04765353
20000,0.0181972854421766,0.005908869248559534,1,percentile,all3 - kmeans_distance_reject,M_new,0.012053077345368068,nmi_kept,5,0.005,1,same_seed_method_pair,random_seed,0.007908637731861689,0.01881357;0.01350797;0.00166641;0.00635178;0.01992566
20000,0.016381727303021655,0.0071431828836891805,1,percentile,all3 - random_same_coverage,M_new,0.011989036663201103,acc_kept,5,0.005,1,mean_over_random_rejection_repeats_within_seed,random_seed,0.005906547415006434,0.01922096;0.01341772;0.00296016;0.01351832;0.01082803
20000,0.060739546418038345,0.0360113981743579,1,percentile,all3 - random_same_coverage,M_new,0.048375472296198124,ari_kept,5,0.005,1,mean_over_random_rejection_repeats_within_seed,random_seed,0.01571117272099765,0.04809594;0.06729248;0.03508965;0.03089087;0.06050842
20000,0.030747251460190507,0.018144216497956278,1,percentile,all3 - random_same_coverage,M_new,0.024445733979073393,nmi_kept,5,0.005,1,mean_over_random_rejection_repeats_within_seed,random_seed,0.00797967697306939,0.02652594;0.03193763;0.01531618;0.01678139;0.03166753
20000,1.0064570353374158e-05,-0.00042577499894755897,0,percentile,all3 - kmeans,G_new,-0.00020785521429709242,acc_kept,5,0.005,0,same_seed_method_pair,random_seed,0.00028514035832303,-0.00040685;0.00009722;-0.00048216;0.00010337;-0.00035085
20000,0.020023108402831523,0.012986096223710128,1,percentile,all3 - kmeans,G_new,0.016609297311778497,ari_kept,5,0.005,1,same_seed_method_pair,random_seed,0.004653611864887701,0.02033579;0.01495904;0.02157086;0.00987855;0.01630225
20000,0.015062981356061133,0.00737567669516862,1,percentile,all3 - kmeans,G_new,0.011354118436391725,nmi_kept,5,0.005,1,same_seed_method_pair,random_seed,0.004946777694007525,0.01487348;0.01034771;0.01669791;0.00388573;0.01096577
20000,8.083894263004599e-05,-0.00036913199656971594,0,percentile,all3 - any2,G_new,-0.00014414652696983498,acc_kept,5,0.005,0,same_seed_method_pair,random_seed,0.0002883196594881394,-0.00036702;0.00017357;-0.00043102;0.00015332;-0.00024958
20000,0.021470425188032084,0.013229084246937695,1,percentile,all3 - any2,G_new,0.01708777686512605,ari_kept,5,0.005,1,same_seed_method_pair,random_seed,0.005203550628216891,0.02000686;0.01507943;0.02408861;0.01035304;0.01591094
20000,0.016421220030154993,0.0076153949521147405,1,percentile,all3 - any2,G_new,0.011953698058727268,nmi_kept,5,0.005,1,same_seed_method_pair,random_seed,0.005506954929030167,0.01457499;0.00970071;0.01937642;0.00460042;0.01151594
20000,-0.0006674286769635662,-0.0012521285153497708,1,percentile,all3 - kmeans_distance_reject,G_new,-0.0009970245593384996,acc_kept,5,0.005,0,same_seed_method_pair,random_seed,0.0003710737218334857,-0.00080743;-0.00124327;-0.00042882;-0.00123711;-0.00126850
20000,0.022400297919759567,0.013419891579776907,1,percentile,all3 - kmeans_distance_reject,G_new,0.018046434841611968,ari_kept,5,0.005,1,same_seed_method_pair,random_seed,0.006004288128348519,0.02030003;0.01399468;0.02579107;0.01032710;0.01981929
20000,0.017592800603191894,0.005397550327474609,1,percentile,all3 - kmeans_distance_reject,G_new,0.011764737420080672,nmi_kept,5,0.005,1,same_seed_method_pair,random_seed,0.007872992239673398,0.01564500;0.00666459;0.02152548;0.00136557;0.01362305
20000,9.687293767568494e-05,-0.00043831475672149176,0,percentile,all3 - random_same_coverage,G_new,-0.0001723962916225119,acc_kept,5,0.005,0,mean_over_random_rejection_repeats_within_seed,random_seed,0.00034628994725217774,-0.00044409;0.00012433;-0.00049314;0.00026804;-0.00031712
20000,0.019812988429053227,0.01314627022143645,1,percentile,all3 - random_same_coverage,G_new,0.01648681822083833,ari_kept,5,0.005,1,mean_over_random_rejection_repeats_within_seed,random_seed,0.00447165958202428,0.02029279;0.01470144;0.02128520;0.01024571;0.01590895
20000,0.014302427056614974,0.007107525317014851,1,percentile,all3 - random_same_coverage,G_new,0.010779824735628728,nmi_kept,5,0.005,1,mean_over_random_rejection_repeats_within_seed,random_seed,0.004684672981819777,0.01432512;0.00964574;0.01584709;0.00385559;0.01022558
