acc_kept_mean,acc_kept_sd,conservative_overall_accuracy_mean,conservative_overall_accuracy_sd,coverage_mean,coverage_sd,dataset,method,n_seeds,source
0.9941648745519712,0.00033851523879908116,0.9941648745519712,0.00033851523879908116,1.0,0.0,F_new,DINOv2+KMeans,5,external_dinov2_results.csv
0.998350846192816,0.0006461216050611558,0.5632258064516129,0.022770042594106265,0.56415770609319,0.022847993487117822,F_new,DINOv2+UMAP+all3,5,external_dinov2_results.csv
0.9111803700405658,0.0026747576106728524,0.9111803700405658,0.0026747576106728524,1.0,0.0,V_new,DINOv2+KMeans,5,external_dinov2_results.csv
0.9850510755022424,0.0038849132257193363,0.760937963787474,0.08345524756373554,0.7723557930147422,0.08310265094186374,V_new,DINOv2+UMAP+all3,5,external_dinov2_results.csv
0.8114415530772409,0.0046548647953674836,0.8114415530772409,0.0046548647953674836,1.0,0.0,M_new,DINOv2+KMeans,5,external_dinov2_results.csv
0.869589436031047,0.007147559350028286,0.5914085088806279,0.022545722174326523,0.6801321767864519,0.026246469300848695,M_new,DINOv2+UMAP+all3,5,external_dinov2_results.csv
0.9980160857908847,0.0007243568946973899,0.9980160857908847,0.0007243568946973899,1.0,0.0,G_new,DINOv2+KMeans,5,external_dinov2_results.csv
0.9991199599409433,0.000294132716551225,0.6046648793565683,0.016779715166699023,0.6052010723860589,0.01695124886973359,G_new,DINOv2+UMAP+all3,5,external_dinov2_results.csv
