dataset,dataset_code,seed,method,umap_dim,n_clusters,acc_kept,coverage,rejection_rate,conservative_accuracy,ari_all,ari_kept,nmi_all,nmi_kept,ami_all,ami_kept,homogeneity,homogeneity_all,homogeneity_kept,completeness,completeness_all,completeness_kept,v_measure,v_measure_all,v_measure_kept,n_samples,n_kept,n_rejected,reduction,subset
PV-Fruit,F_new,11,all3,100,60,0.9996576905522592,0.6282437275985663,0.3717562724014337,0.6280286738351254,0.1396967193420598,0.1930535842189868,0.6313537852994531,0.6730327255528784,0.6291531184783641,0.6703514234572435,0.9989587985727616,0.9984869417072704,0.9989587985727616,0.5074644426351129,0.4616207033633102,0.5074644426351129,0.6730327255528785,0.6313537852994531,0.6730327255528785,13950,8764,5186,umap,exact_dedup_clean
PV-Fruit,F_new,11,any2,100,60,0.9994735654658946,0.9531899641577061,0.046810035842293915,0.9526881720430108,0.1396967193420598,0.14471769335764842,0.6313537852994531,0.6361808459892928,0.6291531184783641,0.63391134314115,0.9984595500929406,0.9984869417072704,0.9984595500929406,0.4668060439288914,0.4616207033633102,0.4668060439288914,0.6361808459892928,0.6313537852994531,0.6361808459892928,13950,13297,653,umap,exact_dedup_clean
PV-Fruit,F_new,11,kmeans,100,60,0.9994982078853046,1.0,0.0,0.9994982078853046,0.1396967193420598,0.1396967193420598,0.6313537852994531,0.6313537852994531,0.6291531184783641,0.6291531184783641,0.9984869417072704,0.9984869417072704,0.9984869417072704,0.4616207033633102,0.4616207033633102,0.4616207033633102,0.6313537852994531,0.6313537852994531,0.6313537852994531,13950,13950,0,umap,exact_dedup_clean
PV-Fruit,F_new,11,birch,100,60,0.9994982078853046,1.0,0.0,0.9994982078853046,0.13440663532937114,0.13440663532937114,0.6298772112186589,0.6298772112186589,0.6276737219915959,0.6276737219915959,0.9984393662529332,0.9984393662529332,0.9984393662529332,0.4600537700895448,0.4600537700895448,0.4600537700895448,0.6298772112186589,0.6298772112186589,0.6298772112186589,13950,13950,0,umap,exact_dedup_clean
PV-Fruit,F_new,11,agg,100,60,0.9994982078853046,1.0,0.0,0.9994982078853046,0.13879694773375684,0.13879694773375684,0.6315146569612716,0.6315146569612716,0.6293127566482392,0.6293127566482392,0.9985348372322684,0.9985348372322684,0.9985348372322684,0.4617824819329239,0.4617824819329239,0.4617824819329239,0.6315146569612716,0.6315146569612716,0.6315146569612716,13950,13950,0,umap,exact_dedup_clean
PV-Fruit,F_new,11,kmeans_distance_reject,100,60,0.9997717937015062,0.6282437275985663,0.3717562724014337,0.6281003584229391,0.1396967193420598,0.18529813981005752,0.6313537852994531,0.663946590628121,0.6291531184783641,0.6607727222436482,0.9993059974564432,0.9984869417072704,0.9993059974564432,0.4971177104579218,0.4616207033633102,0.4971177104579218,0.663946590628121,0.6313537852994531,0.663946590628121,13950,8764,5186,umap,exact_dedup_clean
PV-Fruit,F_new,22,all3,100,60,0.999328483491886,0.6405017921146954,0.3594982078853047,0.6400716845878136,0.1402497418449407,0.17655159178644542,0.6324220018477912,0.6667480137265219,0.6302222137131498,0.6641662608585001,0.9982234680190452,0.9988215003914528,0.9982234680190452,0.5005370038202884,0.4626918962269778,0.5005370038202884,0.6667480137265221,0.6324220018477911,0.6667480137265221,13950,8935,5015,umap,exact_dedup_clean
PV-Fruit,F_new,22,any2,100,60,0.9995382484223488,0.9314695340501792,0.06853046594982079,0.9310394265232976,0.1402497418449407,0.1398383693337456,0.6324220018477912,0.6340897286018643,0.6302222137131498,0.6317469915706864,0.9987434547826742,0.9988215003914528,0.9987434547826742,0.464496314814513,0.4626918962269778,0.464496314814513,0.6340897286018643,0.6324220018477911,0.6340897286018643,13950,12994,956,umap,exact_dedup_clean
PV-Fruit,F_new,22,kmeans,100,60,0.9995698924731182,1.0,0.0,0.9995698924731182,0.1402497418449407,0.1402497418449407,0.6324220018477912,0.6324220018477912,0.6302222137131498,0.6302222137131498,0.9988215003914528,0.9988215003914528,0.9988215003914528,0.4626918962269778,0.4626918962269778,0.4626918962269778,0.6324220018477911,0.6324220018477911,0.6324220018477911,13950,13950,0,umap,exact_dedup_clean
PV-Fruit,F_new,22,birch,100,60,0.9995698924731182,1.0,0.0,0.9995698924731182,0.1349749019236948,0.1349749019236948,0.6302695858923107,0.6302695858923107,0.6280656146193261,0.6280656146193261,0.9987106043797354,0.9987106043797354,0.9987106043797354,0.4604148570797086,0.4604148570797086,0.4604148570797086,0.6302695858923107,0.6302695858923107,0.6302695858923107,13950,13950,0,umap,exact_dedup_clean
PV-Fruit,F_new,22,agg,100,60,0.9995698924731182,1.0,0.0,0.9995698924731182,0.14530530863863556,0.14530530863863556,0.6346364867978233,0.6346364867978233,0.632439366476018,0.632439366476018,0.9987867341824108,0.9987867341824108,0.9987867341824108,0.4650739635173934,0.4650739635173934,0.4650739635173934,0.6346364867978231,0.6346364867978231,0.6346364867978231,13950,13950,0,umap,exact_dedup_clean
PV-Fruit,F_new,22,kmeans_distance_reject,100,60,0.999888080581981,0.6405017921146954,0.3594982078853047,0.6404301075268817,0.1402497418449407,0.1914681558432319,0.6324220018477912,0.6670813059575736,0.6302222137131498,0.6640063077944162,0.9996271920746216,0.9988215003914528,0.9996271920746216,0.5005600425922274,0.4626918962269778,0.5005600425922274,0.6670813059575736,0.6324220018477911,0.6670813059575736,13950,8935,5015,umap,exact_dedup_clean
PV-Fruit,F_new,33,all3,100,60,0.9994134209291412,0.6110394265232975,0.3889605734767025,0.6106810035842294,0.14143927682741042,0.17172977786296448,0.6315707071444979,0.65662243025305,0.6293720101033521,0.6536721343709436,0.9983539501748666,0.9987390848867278,0.9983539501748666,0.4891789454065627,0.4617987435845107,0.4891789454065627,0.65662243025305,0.6315707071444979,0.65662243025305,13950,8524,5426,umap,exact_dedup_clean
PV-Fruit,F_new,33,any2,100,60,0.9995376435231564,0.9302508960573477,0.06974910394265232,0.929820788530466,0.14143927682741042,0.15078214906696374,0.6315707071444979,0.6404855228007869,0.6293720101033521,0.638229807357035,0.998670375224422,0.9987390848867278,0.998670375224422,0.4714091115601177,0.4617987435845107,0.4714091115601177,0.6404855228007869,0.6315707071444979,0.6404855228007869,13950,12977,973,umap,exact_dedup_clean
PV-Fruit,F_new,33,kmeans,100,60,0.9995698924731182,1.0,0.0,0.9995698924731182,0.14143927682741042,0.14143927682741042,0.6315707071444979,0.6315707071444979,0.6293720101033521,0.6293720101033521,0.9987390848867278,0.9987390848867278,0.9987390848867278,0.4617987435845107,0.4617987435845107,0.4617987435845107,0.6315707071444979,0.6315707071444979,0.6315707071444979,13950,13950,0,umap,exact_dedup_clean
PV-Fruit,F_new,33,birch,100,60,0.9995698924731182,1.0,0.0,0.9995698924731182,0.13723357704315478,0.13723357704315478,0.6314680769670322,0.6314680769670322,0.6292682886055639,0.6292682886055639,0.9987106043797356,0.9987106043797356,0.9987106043797356,0.4616950978154674,0.4616950978154674,0.4616950978154674,0.6314680769670321,0.6314680769670321,0.6314680769670321,13950,13950,0,umap,exact_dedup_clean
PV-Fruit,F_new,33,agg,100,60,0.9995698924731182,1.0,0.0,0.9995698924731182,0.1406376898312544,0.1406376898312544,0.6316852482850952,0.6316852482850952,0.629486512475066,0.629486512475066,0.9988329738556636,0.9988329738556636,0.9988329738556636,0.4619011493723,0.4619011493723,0.4619011493723,0.6316852482850952,0.6316852482850952,0.6316852482850952,13950,13950,0,umap,exact_dedup_clean
PV-Fruit,F_new,33,kmeans_distance_reject,100,60,0.9998826841858284,0.6110394265232975,0.3889605734767025,0.6109677419354839,0.14143927682741042,0.197831578133031,0.6315707071444979,0.6702585362229524,0.6293720101033521,0.6670599494028996,0.9996121327775512,0.9987390848867278,0.9996121327775512,0.5041503705613852,0.4617987435845107,0.5041503705613852,0.6702585362229524,0.6315707071444979,0.6702585362229524,13950,8524,5426,umap,exact_dedup_clean
PV-Fruit,F_new,44,all3,100,60,0.9996399423907826,0.5972759856630824,0.4027240143369176,0.5970609318996416,0.1345299624231065,0.2272227013648501,0.6293827398926752,0.6911941249463524,0.6271782641818212,0.6886273339538711,0.9989218030921516,0.9985171768446854,0.9989218030921516,0.5284117060406778,0.4595099148443132,0.5284117060406778,0.6911941249463525,0.6293827398926753,0.6911941249463525,13950,8332,5618,umap,exact_dedup_clean
