dataset,duplicate_group_id,kept_file,removed_file,sha256
M_new,44,6_18.jpg,6_386.jpg,516cc71965fd509568c0be24b915ae84e327600ba42607ca18b1755590625526
M_new,45,7_117.jpg,7_188.jpg,55b5ea3925ed266fbf9d3439bc52a677216c581683f4c130515f321ace78e9a2
M_new,46,6_111.jpg,6_214.jpg,5a39a817df4430f377fb3c72c9a111cbf5f1303c7f2f8ddac1ffda30d0c7cdab
M_new,47,6_220.jpg,6_325.jpg,5a5ad53e590a959be7d5a51ad0e80093b7d8468fca76635a6f6680423aef86d8
M_new,48,7_196.jpg,7_204.jpg,5cd7e4c425ef21f28964b5abd246571ce546d4eb1fc2fef3d356dbaaf882f619
M_new,49,7_102.jpg,7_273.jpg,5d4ef19626eb9da9923a4e905fce75be0b5a59e65a8f5b1bad2671d1d547b428
M_new,50,6_225.jpg,6_326.jpg,608c7ad8b3690fa745290372cdca7d70a9b0e4acba7ebf48c4871b8bbad75df5
M_new,51,6_198.jpg,6_233.jpg,62cb664c9bd9f3bcc90d287b4e6054564bd077a752965d2dac459d702a401692
M_new,52,6_197.jpg,6_231.jpg,638f776ebd39e4cacae9a097a2728f26866a9d4898b62efc1a4d9cc56165c0d3
M_new,53,4_220.jpg,4_221.jpg,64e3f7b7cd9df71a1bb3d71701b58bb1179f6d8281105af239e0f82e3af9ce13
M_new,54,7_148.jpg,7_320.jpg,68c49cccb88f21e03f569d95f344d68765a3c6b33e7da73552100bfb5952e525
M_new,55,4_304.jpg,4_305.jpg,68f50f18bb917da7969d8675d67da3a826d562ca4c5aedcae58dff38351d9850
M_new,56,7_155.jpg,7_309.jpg,6cc46eb7f92595f5693e63c7a7661bdf5bdbd035c2887d5185fc4b8e518eb89e
M_new,57,7_114.jpg,7_185.jpg,702742e480b0360562ee1020a220c47085f6928120fb118d1b2c4c5bed05d430
M_new,58,7_177.jpg,7_272.jpg,710ce93bcbb29c70a11df92e15520047570ba3a4907b6495aaafc7d437dca31d
