true_class,Gourd,Hibiscus,Papaya,Zucchini
Gourd,0.9987819135510179,0.0,0.0,0.0012180864489822248
Hibiscus,0.0,0.9988525034221383,0.0,0.0011474965778617817
Papaya,0.0,0.0,1.0,0.0
Zucchini,0.003144666479667297,0.0,0.0,0.9968553335203326
