dataset,comparison,metric,n_seeds,mean_diff,sd_diff,ci_low,ci_high
F_new,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,acc_kept,5,-0.00035207399315337893,0.0004288740708125915,-0.0006490855327292655,3.513392996983278e-05
F_new,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,ari_kept,5,0.1640845437116126,0.05068977064857838,0.12580848547283924,0.20255143740893153
F_new,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,nmi_kept,5,0.06208606039798328,0.013837892879927314,0.0517648340473823,0.07348967644684623
F_new,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,coverage,5,-0.2731756272401434,0.027399430528925905,-0.29783512544802865,-0.2555698924731183
F_new,DINOv2+UMAP+all3 - DINOv2+UMAP+any2,acc_kept,5,-0.0002946664015877953,0.0004714104756729005,-0.0006119309606479106,0.00012498335910167136
F_new,DINOv2+UMAP+all3 - DINOv2+UMAP+any2,ari_kept,5,0.1436916881698849,0.044859469675400394,0.10932305139340537,0.17877309071998465
F_new,DINOv2+UMAP+all3 - DINOv2+UMAP+any2,nmi_kept,5,0.05508446310114638,0.011256120910785853,0.046386370995045126,0.06378255520724765
F_new,DINOv2+UMAP+all3 - DINOv2+UMAP+any2,coverage,5,-0.24103225806451614,0.02284493454330396,-0.25812186379928315,-0.2229247311827957
V_new,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,acc_kept,5,0.06730051110615362,0.04317928898771654,0.033394388887612814,0.10224256598939192
V_new,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,ari_kept,5,0.09853134331381821,0.02577761904466633,0.0787851739611182,0.11827751266651823
V_new,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,nmi_kept,5,0.04849533619674602,0.014289923893720422,0.03709736292508481,0.05989330946840723
V_new,DINOv2+UMAP+all3 - DINOv2+UMAP+KMeans,coverage,5,-0.1758781042841595,0.06789521420663198,-0.23508459483526273,-0.12735727713465914
